Date,Close
12/4/2020,214.360001
12/7/2020,214.289993
12/8/2020,216.009995
12/9/2020,211.800003
12/10/2020,210.520004
12/11/2020,213.259995
12/14/2020,214.199997
12/15/2020,214.130005
12/16/2020,219.279999
12/17/2020,219.419998
12/18/2020,218.589996
12/21/2020,222.589996
12/22/2020,223.940002
12/23/2020,221.020004
12/24/2020,222.75
12/28/2020,224.960007
12/29/2020,224.149994
12/30/2020,221.679993
12/31/2020,222.419998
1/4/2021,217.690002
1/5/2021,217.899994
1/6/2021,212.25
1/7/2021,218.289993
1/8/2021,219.619995
1/11/2021,217.490005
1/12/2021,214.929993
1/13/2021,216.339996
1/14/2021,213.020004
1/15/2021,212.649994
1/19/2021,216.440002
1/20/2021,224.339996
1/21/2021,224.970001
1/22/2021,225.949997
1/25/2021,229.529999
1/26/2021,232.330002
1/27/2021,232.899994
1/28/2021,238.929993
1/29/2021,231.960007
2/1/2021,239.649994
2/2/2021,239.509995
2/3/2021,243
2/4/2021,242.009995
2/5/2021,242.199997
2/8/2021,242.470001
2/9/2021,243.770004
2/10/2021,242.820007
2/11/2021,244.490005
2/12/2021,244.990005
2/16/2021,243.699997
2/17/2021,244.199997
2/18/2021,243.789993
2/19/2021,240.970001
2/22/2021,234.509995
2/23/2021,233.270004
2/24/2021,234.550003
2/25/2021,228.990005
2/26/2021,232.380005
3/1/2021,236.940002
3/2/2021,233.869995
3/3/2021,227.559998
3/4/2021,226.729996
3/5/2021,231.600006
3/8/2021,227.389999
3/9/2021,233.779999
3/10/2021,232.419998
3/11/2021,237.130005
3/12/2021,235.75
3/15/2021,234.809998
3/16/2021,237.710007
3/17/2021,237.039993
3/18/2021,230.720001
3/19/2021,230.350006
3/22/2021,235.990005
3/23/2021,237.580002
3/24/2021,235.460007
3/25/2021,232.339996
3/26/2021,236.479996
3/29/2021,235.240005
3/30/2021,231.850006
3/31/2021,235.770004
4/1/2021,242.350006
4/5/2021,249.070007
4/6/2021,247.860001
4/7/2021,249.899994
4/8/2021,253.25
4/9/2021,255.850006
4/12/2021,255.910004
4/13/2021,258.48999
4/14/2021,255.589996
4/15/2021,259.5
4/16/2021,260.73999
4/19/2021,258.73999
4/20/2021,258.26001
4/21/2021,260.579987
4/22/2021,257.170013
4/23/2021,261.149994
4/26/2021,261.549988
4/27/2021,261.970001
4/28/2021,254.559998
4/29/2021,252.509995
4/30/2021,252.179993
5/3/2021,251.860001
5/4/2021,247.789993
5/5/2021,246.470001
5/6/2021,249.729996
5/7/2021,252.460007
5/10/2021,247.179993
5/11/2021,246.229996
5/12/2021,239
5/13/2021,243.029999
5/14/2021,248.149994
5/17/2021,245.179993
5/18/2021,243.080002
5/19/2021,243.119995
5/20/2021,246.479996
5/21/2021,245.169998
5/24/2021,250.779999
5/25/2021,251.720001
5/26/2021,251.490005
5/27/2021,249.309998
5/28/2021,249.679993
6/1/2021,247.399994
6/2/2021,247.300003
6/3/2021,245.710007
6/4/2021,250.789993
6/7/2021,253.809998
6/8/2021,252.570007
6/9/2021,253.589996
6/10/2021,257.23999
6/11/2021,257.890015
6/14/2021,259.890015
6/15/2021,258.359985
6/16/2021,257.380005
6/17/2021,260.899994
6/18/2021,259.429993
6/21/2021,262.630005
6/22/2021,265.51001
6/23/2021,265.269989
6/24/2021,266.690002
6/25/2021,265.019989
6/28/2021,268.720001
6/29/2021,271.399994
6/30/2021,270.899994
7/1/2021,271.600006
7/2/2021,277.649994
7/6/2021,277.660004
7/7/2021,279.929993
7/8/2021,277.420013
7/9/2021,277.940002
7/12/2021,277.320007
7/13/2021,280.980011
7/14/2021,282.51001
7/15/2021,281.029999
7/16/2021,280.75
7/19/2021,277.01001
7/20/2021,279.320007
7/21/2021,281.399994
7/22/2021,286.140015
7/23/2021,289.670013
7/26/2021,289.049988
7/27/2021,286.540009
7/28/2021,286.220001
7/29/2021,286.5
7/30/2021,284.910004
8/2/2021,284.820007
8/3/2021,287.119995
8/4/2021,286.51001
8/5/2021,289.519989
8/6/2021,289.459991
8/9/2021,288.329987
8/10/2021,286.440002
8/11/2021,286.950012
8/12/2021,289.809998
8/13/2021,292.850006
8/16/2021,294.600006
8/17/2021,293.079987
8/18/2021,290.730011
8/19/2021,296.769989
8/20/2021,304.359985
8/23/2021,304.649994
8/24/2021,302.619995
8/25/2021,302.01001
8/26/2021,299.089996
8/27/2021,299.720001
8/30/2021,303.589996
8/31/2021,301.880005
9/1/2021,301.829987
9/2/2021,301.149994
9/3/2021,301.140015
9/7/2021,300.179993
9/8/2021,300.209991
9/9/2021,297.25
9/10/2021,295.709991
9/13/2021,296.98999
9/14/2021,299.790009
9/15/2021,304.820007
9/16/2021,305.220001
9/17/2021,299.869995
9/20/2021,294.299988
9/21/2021,294.799988
9/22/2021,298.579987
9/23/2021,299.559998
9/24/2021,299.350006
9/27/2021,294.170013
9/28/2021,283.519989
9/29/2021,284
9/30/2021,281.920013
10/1/2021,289.100006
10/4/2021,283.109985
10/5/2021,288.76001
10/6/2021,293.109985
10/7/2021,294.850006
10/8/2021,294.850006
10/11/2021,294.230011
10/12/2021,292.880005
10/13/2021,296.309998
10/14/2021,302.75
10/15/2021,304.209991
10/18/2021,307.290009
10/19/2021,308.230011
10/20/2021,307.410004
10/21/2021,310.76001
10/22/2021,309.160004
10/25/2021,308.130005
10/26/2021,310.109985
10/27/2021,323.170013
10/28/2021,324.350006
10/29/2021,331.619995
11/1/2021,329.369995
11/2/2021,333.130005
11/3/2021,334
11/4/2021,336.440002
11/5/2021,336.059998
11/8/2021,336.98999
11/9/2021,335.950012
11/10/2021,330.799988
11/11/2021,332.429993
11/12/2021,336.720001
11/15/2021,336.070007
11/16/2021,339.51001
11/17/2021,339.119995
11/18/2021,341.269989
11/19/2021,343.109985
11/22/2021,339.829987
11/23/2021,337.679993
11/24/2021,337.910004
11/26/2021,329.679993
11/29/2021,336.630005
11/30/2021,330.589996
12/1/2021,330.079987
12/2/2021,329.48999
12/3/2021,323.01001
